blue_team,red_team,winner,reason
blu,red,tied,timeout
blu,red,blue,flag_capture
blu,red,blue,flag_capture
blu,red,blue,flag_capture
blu,red,tied,timeout
blu,red,tied,timeout
blu,red,blue,flag_capture
blu,red,tied,timeout
blu,red,tied,timeout
blu,red,tied,timeout
----,----,----,----
red,blu,tied,timeout
red,blu,tied,timeout
red,blu,tied,timeout
red,blu,red,flag_capture
red,blu,tied,timeout
red,blu,red,flag_capture
red,blu,tied,timeout
red,blu,red,flag_capture
red,blu,tied,timeout
red,blu,tied,timeout
